,Gene,IEI_Interactor
1902,WWOX,"ATRX, BRCA1, GNE, MAPK8, MAPK8, SMAD3, TP53, TP53, TP53, TP63"
1903,HNRNPD,"ATRX, BRCA1, CBL, CD4, CD81, CDK9, EP300, FANCD2, GBA1, HNRNPK, HNRNPK, HSPA9, HTR1A, JAK1, RAP1A, RC3H1, RECQL4, TP53"
1904,NOMO1,"ATRX, CD79A, FPR1, FPR2, FPR2, TP53"
1905,RRBP1,"ATRX, CDC42, CDK9, DNAH5, HSPA1L, MAP3K14, RAC2, RBM8A, RECQL4, RHOG, RPL5, SRP72, STIM1"
1906,PLN,ATRX
1907,RRM2,"ATRX, CDK9, CDKN2A, CFTR, DNAAF5, KRAS, OFD1, PRKDC"
1908,STX18,"ATRX, BLOC1S6, KRAS, KRAS, NRAS, RAC2, RHOG, RIT1, STIM1, STX3"
1909,PKMYT1,"ATRX, CD79A, MAPK8, MAPK8, PTEN, RHOG, SPINT2, SPINT2, SPINT2, STIM1"
1910,CDCA8,"ATRX, KIF23, KRAS, KRAS, KRAS, LYN, MYH9, RANBP2, RIT1, RPS24, TERF2IP"
1911,WDR33,"ATRX, ISG15, KIF23, TERF2IP, VTN, VTN"
1912,EIF2S3,"ATRX, CDK9, KRAS, KRAS, NRAS, RBM8A, RIT1, RPL5, SRP72, TP53"
1913,IARS2,"ATRX, C1QBP, CLPB, HSPA9, HTRA2, HTRA2, KRAS, KRAS, MTHFD1, MYH9, RAF1, RHOG, RIT1, RNASEH2A, TP53, TRAP1, UBA1"
1914,HSPA9,"ATRX, BRAF, BRAF, BRAF, BRCA1, C1QBP, CBL, CDK9, CDKN2A, CDKN2A, CFTR, EP300, FANCD2, G6PD, HAX1, HCK, ITPR3, ITPR3, KRAS, KRAS, KRAS, KRAS, LCK, MAP2K2, NOS2, PSMA3, PSMA3, PTPN11, RC3H1, RECQL4, RHOG, RIT1, RNF31, RUNX1, SH3KBP1, SRC, TET2, TGFB1, TP53, TP53, TP53, TP53, TP53, TP53, TRAP1"
1915,EIF3B,"ATRX, BRCA1, BRCA1, CD4, CD81, EP300, EP300, KRAS, MCM4, MSH2, RBM8A, RECQL4, RIT1, RPL5, RPS24, RSPH9, RSPH9, SRP72, TP53, TP53"
1916,RABGGTA,"ATRX, KRAS, RAB27A"
1917,POMK,"ATRX, C3AR1, C3AR1, CD3D, CD79B, CD79B, GBA1, IFNGR2"
1918,TUBA1B,"ATRX, CD81, CDC42, CDK9, GBA1, INO80, INO80, ISG15, KRAS, MAP2K2, OFD1, ORAI1, PIK3R1, PIK3R1, PSEN1, PSMA3, PTEN, RAC1, RC3H1, RECQL4, RHOG, RHOH, RIT1, RPL18, RPL5, RUNX1, SRC, TET2, TUBB1, VAV1"
1919,CABIN1,"ATRX, BRCA1, CDAN1, CDIN1, ERCC4"
1920,ASF1A,"ATRX, CDAN1, CDAN1, CDAN1, CDIN1, FAS, RECQL4, TONSL, TONSL, TP53"
1921,RNMT,"ATRX, BRCA1, KRAS, RECQL4, RIT1"
1922,MCM4,"ATRX, ATRX, BRCA1, CFTR, EP300, EP300, EP300, FANCD2, FANCD2, FANCD2, KRAS, LIG4, MAP2K1, MCM10, MCM10, MCM10, MCM4, RECQL4, RECQL4, TGFB1, TONSL, TONSL, TP53"
1923,NUDCD3,"ATRX, DNAJC21, KDM1A, LCK, OFD1, RHOG, RPGR"
1924,SKA3,ATRX
1925,RPL7A,"ATRX, BRCA1, CDK9, CNBP, CNBP, DNAJC21, FANCD2, KIF23, LCK, LYN, MAP2K1, MAP3K14, NLRP7, RBM8A, RC3H1, RECQL4, RIT1, RPL10, RPL10, RPL11, RPL11, RPL11, RPL15, RPL15, RPL15, RPL15, RPL18, RPL18, RPL18, RPL19, RPL19, RPL26, RPL27, RPL36, RPL36, RPL36, RPL5, RPL5, RPL5, RPS10, RPS14, RPS14, RPS15A, RPS19, RPS24, RPS24, RPS26, RPS27, SART3, SART3, SRP72, TP53, TP53, TP53, TRAP1"
1926,TIPIN,"ATRX, GFI1B, KRAS, MCM4, POLE2, RECQL4, RECQL4, RIT1"
1927,PSMA2,"ATRX, CFTR, ISG15, KRAS, MBL2, NFKBIA, NOS2, POMP, PSEN1, PSMA3, PSMA3, PSMA3, PSMA3, PSMB4, PSMB4, PSMB4, PSMB4, PSMB8, PSMB8, PSMB9, PSMB9, PSMB9, PSMB9, PSMG2, PSMG2, RECQL4, RIT1"
1928,CSTF1,"ATRX, BRCA1, GATA1, GTF2E2"
1929,DYNLRB1,"ATRX, KRAS, KRAS, RIT1"
1930,TRA2B,"ATRX, BRCA1, CEBPA, EP300, EP300, KIF23, PRKDC, RAD51, RC3H1, RECQL4, RNF31, RPL5, TFRC, TP53"
1931,HAT1,"ATRX, ATRX, CDAN1, EP300, EP300, HELLS, MRE11, NCF1, RECQL4, REL, VTN, VTN"
1932,DDX46,"ATRX, CYCS, EP300, KRAS, PSENEN, PSMB10, RC3H1, RIT1, RPL35A, TP53, UBR5"
1933,RBM27,"ATRX, CDK9, CYCS, EP300, NEUROG3, RC3H1, TERF2IP, TNFRSF13B, TNFRSF13B"
1934,CENPN,"ATRX, CNBP, CNBP, KRAS, RIT1, RPL36"
1935,PSMG4,"ATRX, KRAS, PEPD, PSMB9, PSMB9, PSMB9, PSMG2, PSMG2, PSMG2, PSMG2, WDR1"
1936,DBR1,"ATRX, EP300, KRAS, MPLKIP, RECQL4, RIT1, TP53"
1937,XKRX,ATRX
1938,SMC5,"ATRX, BRCA1, NSMCE2, NSMCE2, NSMCE2, NSMCE3, NSMCE3, NSMCE3, RAD50, RFXANK, STN1, STN1, STN1, TERF2, TP53"
1939,ESS2,"ATRX, CRP, IKZF3, IKZF3, IKZF3, KRAS, LYST, PARN, RIT1, TERF2IP, TP53, USB1, USB1"
1940,SMC6,"ATRX, BRCA1, KRAS, KRAS, NSMCE2, NSMCE2, NSMCE3, NSMCE3, NSMCE3, NSMCE3, NSMCE3, RIT1, STN1, STN1, STN1, TERF2"
1941,BTF3L4,"ATRX, FCGRT, FGB, RNF31, UNC45A"
1942,SMN1,"ATRX, BLOC1S6, COPA, ITCH, ITCH, KIF23, KRAS, NOS2, RET, RIT1, SRP54, TP53"
1943,C6orf15,ATRX
1944,TRAPPC4,"ATRX, GATA2, GATA2, KRAS, KRAS, PNP, RECQL4"
1945,IL1R2,"ATRX, CFTR"
1946,79955,ATRX
1947,UBE2J1,"ATRX, CD79A, CDC42, JAGN1, KRAS, KRAS, RAC2, RHOG, SEC23B, SLC39A7, STIM1, STIM1, UBA1, UBA1"
1948,RTRAF,"ATRX, CFTR, EP300, KIF23, MECOM, RECQL4, RPL10, TCF3, VAV1"
1949,CDK12,"ATRX, CCNK, CCNK, CDK9, CDK9, CYCS, EP300, KRAS, RC3H1, RIT1, RPL15, RPL36, RPS14, TERF2IP, UBR5"
1950,729540,"ATRX, CD81"
1951,COASY,"ATRX, BTK, DNAI2, DNAJC21, KIF23, KRAS, LYN, MAD2L2, PTPN11, RFXANK, RIT1, SRC, SYK, TRADD"
1952,FNTB,"ATRX, KRAS, LPIN2, RPL18, RPL18"
1953,TUBGCP6,"ATRX, INAVA, TP53, UBA1"
1954,ZAP70,"ATRX, CBL, CBL, CBL, CBL, CBL, CBL, CBL, CBL, CBL, CBL, CD247, CD247, CD247, CD247, CD247, CD247, CD247, CD3D, CD3E, CD3E, CD3G, CD4, LCK, LCK, LCK, LCK, PIK3R1, PTPN22, PTPN22, RHOH, RIT1, SH3BP2, SH3BP2, VAV1, ZAP70, ZAP70"
1955,CSTF3,"ATRX, CDK9, EP300, GTF2E2, GTF2E2, PARN, RECQL4, RIT1"
1956,ZMYND8,"ATRX, ATRX, RBM8A, RPL15, TERF2IP"
1957,NUCKS1,"ATRX, ATRX, EP300, TERF2IP"
1958,CDC27,"ATRX, CREBBP, CREBBP, DCLRE1C, DCLRE1C, EP300, FOXP3, KRAS, KRAS, KRAS, LAMTOR2, PTEN, PTEN, PTEN, RECQL4, RIT1, SH3KBP1, SH3KBP1, SH3KBP1, SMAD3"
1959,TCERG1,"ATRX, FANCA, FANCC, TERF2IP, TP53"
1960,ADNP,"ATRX, FANCD2, KDM1A, RECQL4, TERF2IP, TP53, TP53"
1961,PHC1,"ATRX, TERF2IP, TET2"
1962,ZBTB21,"ATRX, NF1, PARN, POLE2, PTX3, TERF2IP, TP53"
1963,ERC1,"ATRX, BRCA1, CHUK, FBF1, IKBKB, IKBKB, IKBKG, KDM1A, KIF23, KRT8, OFD1, SH3KBP1, STK4, XIAP"
1964,ABLIM3,"ATRX, IKZF3, IKZF3"
1965,13163,"ATRX, TGFBR2, TGFBR2"
1966,17219,ATRX
1967,CCDC71,"ATRX, ATRX, KRT8"
1968,55719,"ATRX, ATRX, BRCA1, NSMCE3"
1969,IMP3,"ATRX, ATRX, CDK9, GBA1, KIF23, KRAS, KRAS, RIT1, RPL11, RPS10, RPS15A, RPS19, RPSA, TP53, ZNFX1"
1970,CENPC,"ATRX, JAK3, PTEN, PTEN, RPL15, RPL18, RPL18, RPL36, RPS24, TERF2IP"
1971,MORC2,"ATRX, B2M, KRAS, NLRP7"
1972,ZMAT2,"ATRX, IKZF1, TERF2IP, TNIP1, TP53"
1973,SENP6,"ATRX, FANCI, KRAS, TERF2IP"
1974,GATAD2A,"ATRX, BCL11B, CHD7, CREBBP, IKZF1, KRAS, KRAS, MECOM, MECOM, RECQL4, RUNX1, TERF2IP, TP53"
1975,SLX9,"ATRX, ATRX, KIF23, NEUROG3, PARN, PSENEN, RECQL4, RPS19, RPS24, TERF2IP"
1976,GTF2F1,"ATRX, BRCA1, CDK9, CDK9, ERCC3, FGB, GTF2H5, KRAS, PSENEN, RPL35A, RPS24, TERF2IP"
1977,MBD3,"ATRX, BCL11B, BCL11B, BCL11B, IKZF1, IKZF3, INO80, KDM1A, KDM1A, KMT2A, MECOM, MECOM, RECQL4"
1978,CFDP1,"ATRX, EP300, KRAS, SMAD3, TERF2IP"
1979,CACTIN,"ATRX, KRAS, TERF2IP"
1980,PAF1,"ATRX, CDK9, CDK9, CHUK, DNMT3B, EP300, KMT2A, KMT2A, KMT2A, KMT2A, KRAS, MECOM, NEUROG3, PCCA, PCCB, PSMA3, PTPN11, PTPN11, RECQL4, RIT1, SKIC2, SKIC3, SKIC3, TERF2IP, TP63"
1981,HOXD13,"ATRX, CARD8, CREBBP, F9, F9, FCN3, FOXN1, FOXP3, IRGM"
1982,ZBTB4,"ATRX, ATRX, TP63"
1983,ZFHX4,"ATRX, ATRX, GATA2, GATA3, RAP1B"
1984,DOT1L,"ATRX, GATA3, KMT2A, KMT2A, STAT1, TGFB1, TP53"
1985,TFAP2A,"ATRX, BRCA1, CFTR, EP300, EP300, EP300, FCHO1, TP53"
1986,SALL1,"ATRX, GATA2, HPS1, HPS1, HPS1, TIMM50"
1987,ZNF687,"ATRX, CDKN2A, ELF4, RPL15, TERF2IP"
1988,LRIF1,"ATRX, CARD8, CARD8, CARD8, CDC42, ELF4, FANCD2, FAS, IL17RA, NRAS, PNP, POLR3F, RAB27A, RAP1B, RHOH, RIT1, SPINT2, SPINT2, SPINT2, TERF2IP, UNC119"
1989,ZMYM2,"ATRX, C8A, CEBPE, CEBPE, CREBBP, ETV6, KDM1A, KDM1A, KDM1A, KDM1A, TERF2IP, TP53"
1990,FUBP1,"ATRX, BRCA1, CD81, CDK9, GATA1, GATA3, KRAS, RIT1, RUNX1, TP53, XIAP"
1991,ZNF281,"ATRX, CD247, GATA2, GATA3, ISG15, KDM6A, MAD2L2, NEUROG3, STAT3, TERF2, TERF2IP"
1992,ZNF592,"ATRX, TERF2IP"
1993,A2M,"B2M, CDC42, CFTR, CFTR, FANCD2, IL10, KRAS, RAP1B, TP63, TTR"
1994,TAP1,"B2M, CDC42, HMOX1, IGHM, ISG15, PSMB8, TAP2, TAP2, TAPBP, TAPBP"
1995,TAPBP,"B2M, ISG15, TAP1, TAP1, TAP1, TAP1"
1996,B2M,"B2M, B2M, CDC42, CFTR, CXCR4, FCGRT, RAC1, RAC2, RHOG, SAMHD1, TAP1, TAP2"
1997,HFE,"B2M, B2M, FCGRT, TFRC, TFRC"
1998,729857,"B2M, B2M, CFTR"
1999,FCGRT,"B2M, B2M, B2M, STK36"
2000,RGPD5,"B2M, B2M, DHFR, ODAD1, ODAD3, ODAD3, ODAD3, RFXANK"
2001,TPST1,"B2M, B2M"
2002,KPNA4,"B2M, B2M, MCM4, NFE2L2, NFE2L2, NFE2L2, RAC1, RECQL4, RELA, TERF2IP, TP53, TP63"
2003,CDCA2,"B2M, B2M, BRCA1, BRCA1, PPP1CB, TERF2IP"
2004,NEMP1,"B2M, B2M, C5, CD81"
2005,PPAT,"B2M, B2M, HAX1, KRAS, KRAS, RECQL4, RIT1"
2006,RANGRF,"B2M, PTPN11"
2007,OTOF,B2M
2008,HMCN1,B2M
2009,RCC1,"B2M, DNAJC21, EP300, EP300, FANCD2, HNRNPK, NCSTN, RECQL4, RIT1, TP53"
2010,HLA-C,"B2M, CD3D, CDC42, HMOX1, HMOX1, HRAS, IL12RB1, KIF23, KRAS, KRAS, LRRC32, MAD2L2, MAD2L2, NPC1, RAC1, RAC2, RHOH, SHOC2, TAP2"
2011,HLA-B,"B2M, CDC42, CXCR4, KIF23, PI4KA, RAC1, RAC2, RHOG, SIAE, SIAE, TAFAZZIN, TAP1"
2012,HLA-F,"B2M, CFTR, TAFAZZIN"
2013,PATZ1,"BACH2, BACH2, RPL18, RPL36, TP53, TP53, TP53, ZBTB24"
2014,BCL6,"BACH2, CREBBP, EP300, EP300, IRF4, IRF4, IRF4, RAF1, SPI1, SPI1, TP53"
2015,MAFG,"BACH2, BACH2, BACH2, DNMT3B, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, ZBTB24"
2016,MAFF,"BACH2, NFE2L2, NFIL3"
2017,MAFK,"BACH2, BACH2, BACH2, CREBBP, FANCD2, NFE2L2, NFE2L2, SMAD3, TP53, ZBTB24"
2018,ZBTB24,"BACH2, DNMT3B, NFE2L2, RPL10, RPL19, RPL36, RPS14, RPS14, RPS19"
2019,SMYD1,BACH2
2020,BATF3,"BACH2, CEBPA, CEBPE, STAT3"
2021,BAHD1,BACH2
2022,HMG20A,"BACH2, CCNK, CREBBP, FANCD2, GATA1, GATA2, GATA3, IRF2BP2, KDM1A, KDM1A, PSTPIP1, RECQL4"
2023,CBX8,"BACH2, IKZF1, TERF2IP"
2024,FARS2,"BACH2, ISG15, KRAS, RPL19, RPL26, RPS10, RPS19, STAT5A, STX11"
2025,8501,"BACH2, KRAS"
2026,CWF19L2,"BACH2, BRCA2, CARD9, CDKN2A, DKC1, FCHO1, GAS8, KRAS, NHP2, PSTPIP1, RANBP2, RPL11, RPL5, STX11, TERF2IP, USB1, USB1, USB1"
2027,TRIM42,"BACH2, CARD9, FCHO1, IKZF3, TP53"
2028,NXF1,"BACH2, HNRNPK, KRAS, KRAS, NUP214, NUP214, NUP214, RANBP2, RBM8A, RECQL4, RIT1, RPL10, TP53"
2029,SCNM1,"BACH2, COG6, EP300, FANCL, GAS8, IKZF1, IKZF3, PSTPIP1, REL, STX11"
2030,RPL9,"BACH2, BRCA1, FANCD2, KIF23, KRAS, MAP3K14, NLRP7, PSTPIP1, RBM8A, RC3H1, RECQL4, RPL10, RPL10, RPL11, RPL11, RPL11, RPL15, RPL15, RPL18, RPL18, RPL19, RPL19, RPL19, RPL27, RPL27, RPL36, RPL36, RPL5, RPL5, RPL5, RPS10, RPS15A, RPS26, RPS27, RPS29, SRP72, TGFB1"
2031,ANKRD55,BACH2
2032,FAM161A,"BACH2, CARD9, DOCK8, GAS8, IKZF1, KDM1A, PRKDC, STX11, TNIP1, TNIP1"
2033,TCEA2,"BACH2, BRCA1, FADD, FCHO1, GAS8, MYH9, STX11, TNIP1, TNIP1"
2034,ZBTB34,"BACH2, FOXP3, ZBTB24"
2035,CCDC185,"BACH2, SPRED1"
2036,RPP25,"BACH2, TERF2IP"
2037,ZNF792,"BACH2, GAS8, HNRNPK, ZBTB24"
2038,ENPP7,BACH2
2039,TSHZ2,BACH2
2040,ZNF438,BACH2
2041,MCRS1,"BACH2, BLM, CXCR4, ELF4, IKZF1, IKZF1, IKZF1, IKZF1, IKZF3, INO80, INO80, INO80, KRAS, LIG4, PSTPIP1, PTEN, PTEN, PTEN, RIT1, TNFRSF1A, TNFRSF1A, TNIP1, TP63, UBR5, XIAP"
2042,CENPP,"BACH2, ZNF341"
2043,INSYN2A,BACH2
2044,ZNF774,"BACH2, CARD9, IPO8, MLH1, SMAD3"
2045,ZNF124,BACH2
2046,ZBTB45,BACH2
2047,ACOX3,"BACH2, C1QA"
2048,JUN,"BACH2, BLM, BLM, BRCA1, BRCA1, CEBPA, CEBPE, CFAP298, CREBBP, CREBBP, CREBBP, CREBBP, CREBBP, EP300, EP300, EP300, EP300, EP300, EP300, EP300, EP300, EP300, EP300, GATA2, HTR1A, IKBKB, ITCH, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, MAPK8, NFAT5, NFE2L2, NFE2L2, NFKB1, PRKDC, PTX3, RELA, RELA, RUNX1, RUNX1, RUNX1, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, SPI1, STAT1, STAT3, STAT3, STAT6, VAV1"
2049,NCOR2,"BACH2, CHUK, CHUK, GATA1, GATA2, GATA3, IKZF1, IRF2BP2, IRF4, ITGAV, NFE2L2, NFE2L2, NFKB1, NFKBIA, PARN, PTEN, RELA, RELA, RUNX1, TERF2IP, THRA, THRA, THRA, THRB, THRB, THRB, THRB"
2050,NCOR1,"BACH2, CBL, CHUK, CREBBP, ETV6, GATA2, GATA3, IL17RA, IRF2BP2, ITGAV, NFKBIA, PARN, PPP1CB, TERF2IP, THRA, THRA, THRA, THRA, THRA, THRA, THRB, THRB, THRB, THRB, THRB, TP53, TP53, TP53"
2051,ZNF131,"BACH2, PRKCD, TERF2IP"
2052,3652,"BACH2, FERMT3, FERMT3, LIG4"
2053,PLD1,"BACH2, C5AR2, C5AR2, CDC42, CDC42, CDC42, CXCR4, KRAS, LYN, NPC1, PLCG2, RAC2, SRC, TP53"
2054,ENC1,"BACH2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2, NFE2L2"
2055,CCDC88A,"BACH2, BRAF, CDC42, IL17RA, INSR, IRF3, KRAS, KRAS, LCK, LYN, NRAS, RAC1, RAC2, RHOG, RHOH"
2056,ATF7,"BACH2, ODAD1, PTX3"
2057,CREB5,"BACH2, BRCA1, RBCK1"
2058,KLHL21,"BACH2, CHUK, IKBKB, IKBKG, SP110"
2059,64410,"BACH2, KRAS"
2060,ZBTB17,"BACH2, CDKN2A, CDKN2A, EP300, GFI1, TP53"
2061,BACH1,"BACH2, CDKN2A, DNMT3B, JAK2, NFE2L2, RBCK1, RBCK1, SLC39A7, SMAD3, TP53, TP53, TP53, TP53, ZBTB24"
2062,KLHL24,"BACH2, DEF6, TIRAP"
2063,FUS,"BACH2, BACH2, BRCA1, BRCA1, CDK9, CREBBP, EP300, EP300, FANCD2, FLI1, ISG15, KIF23, RC3H1, RC3H1, RECQL4, RPS27, RPS27, RUNX1, SPI1, SPI1, SPI1, TP53, TP63, TP63, UBA1"
2064,8347,"BCL10, RECQL4, TET2"
2065,KRT33B,"BCL10, FASLG, KDM1A, NLRP7"
2066,MALT1,"BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, CARD11, CARD11, IKBKG, IKBKG, KIF23, MALT1, MALT1, MALT1, MALT1, MALT1, MALT1, MALT1, MALT1, MALT1, MALT1, NFKBIA, RBCK1, RNF31"
2067,TRADD,"BCL10, CASP8, CASP8, CASP8, CDKN2A, CHUK, FADD, FADD, FADD, FADD, FADD, FADD, FAS, IKBKG, MAD2L2, RIPK1, RIPK1, TMC8, TNFAIP3, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNFRSF1A, TNIP1, TRADD, TRADD, TRADD"
2068,CARD10,"BCL10, BCL10, BCL10, IKBKG, IKBKG, KDM1A"
2069,CARD9,"BCL10, BCL10, BCL10, CARD9, CARD9, CARD9, GAS8, IKZF3, NOP10, STX11"
2070,CARD11,"BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, BCL10, CARD11, CASP8, CHUK, FYB1, IKBKG, IKBKG, IKBKG, MALT1, MALT1, MALT1, RBCK1, RNF31, RNF31, TNFAIP3, TNIP1"
2071,CARD14,"BCL10, BCL10, BCL10, MALT1, MALT1"
2072,NFKBIA,"BCL10, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, CHUK, EP300, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKB, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB2, NFKBIA, NFKBIA, PIK3R1, REL, REL, REL, REL, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELA, RELB, RELB, STAT1, TBK1, TBK1, TP53, TP53, TP53, TP53, TP53, TRIM22, TRIM22"
2073,76580,"BCL10, BCL10"
2074,240354,"BCL10, BCL10"
2075,MIB2,"BCL10, BCL10, ELANE, F9, F9, IKZF1, IKZF1, NAF1"
2076,CAMK2G,"BCL10, ERCC4, KIF23, KRAS, MALT1, PTEN, PTEN, PTEN, TIRAP, TIRAP, TIRAP"
2077,BIRC3,"BCL10, BCL10, BCL10, BCL10, CASP8, CD40LG, CXCR4, HAX1, HAX1, HTRA2, MBTPS1, NOD2, REL, RIPK1, RIPK1, RIPK1, RIPK2, TLR3, TNFAIP3, TNFRSF1A, TNFRSF1A, TNFRSF1A, TRAF3, TRAF3, XIAP, XIAP"
2078,MAPK9,"BCL10, CDC42, CLU, MAPK8, MAPK8, MAPK8, NFE2L2, PRKDC, TP53, TP53"
2079,BCL3,"BCL10, CHUK, EP300, NFKB1, NFKB2, NFKB2, STAT1"
2080,USP9X,"BCL10, BRCA1, CDC42, CFTR, EP300, GATA3, ITCH, ITCH, ITCH, ITCH, KDM1A, KRT8, MALT1, NFKB1, PSMB4, PSMB8, PTEN, PTEN, RAC1, RAC2, RC3H1, RECQL4, RECQL4, RHOG, RHOH, RIT1, SMAD3, TERF2, TP53"
2081,IL15RA,BCL10
2082,SLC20A1,"BCL10, KRAS, KRAS, NRAS, RAC1, RHOG, TGFBR2, VSIG4"
2083,SLC9A3R1,"BCL10, CD40, CFTR, CFTR, CFTR, CFTR, CFTR, CFTR, CFTR, MSN, NOS2, PTEN, PTEN, PTEN, PTEN, PTEN, PTEN, PTEN, PTEN, TCF3"
2084,PRRG4,BCL10
2085,USHBP1,"BCL10, CCNK, FANCG, FANCG, FANCG, GFI1B, STX11, TP63"
2086,UBE2N,"BCL10, BRCA1, BRCA1, BRCA1, BRCA1, BRCA1, CBL, CBL, DNAJC21, HELLS, ISG15, ISG15, KRAS, KRAS, MALT1, RC3H1, RIT1, RNF168, RNF168, RNF168, RNF168, RNF168, SAR1B, TNFAIP3, TP53, TP53, UBA1, UBA1, UBA1, UBA1, UBA1, UBA1, UBA1, UBA1, UBA1, UBA1, XIAP"
2087,SQSTM1,"BCL10, BRCA1, CASP8, CASP8, CASP8, CASP8, CDK9, CDK9, CFTR, CFTR, CFTR, DNAI1, DNAI2, FAS, IFIH1, IKBKB, IKBKG, IKBKG, IKBKG, IL17F, IL7R, INSR, IRAK1, IRF3, IRF3, IRF8, ISG15, KDM1A, KIF23, KRAS, KRT8, LCK, MALT1, MECOM, MLH1, NLRP3, NOD2, PIK3R1, PRKCD, PRKCD, RAD51, RAD51, RAF1, REL, RELA, RIPK1, RIPK2, RNF168, RNF168, RNF31, SMAD3, SMAD3, TBK1, TBK1, TBK1, TGFB1, TGFBR2, TNFAIP3, TP53, TP53, TP53, TP53, TP53, XIAP, XIAP, XIAP"
2088,ATG5,"BCL10, FADD, FADD, FAS, FAS, IRGM, MYD88, RIPK1"
2089,RNF31,"BCL10, CARD11, CARD11, CASP8, CD40, CD40, GFI1B, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IRAK1, MALT1, MALT1, NOD2, NOD2, NOD2, NOD2, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, OTULIN, RBCK1, RBCK1, RBCK1, RBCK1, RBCK1, RBCK1, RBCK1, RBCK1, RBCK1, RBCK1, RIPK1, RIPK2, RNF31, RNF31, RNF31, RNF31, RNF31, RNF31, RNF31, RNF31, STAT1, STAT1, STK4, STK4, TBK1, TLR3, TNFAIP3, TNFAIP3, TNFRSF1A, TNFRSF1A, TNFRSF1A, TP53"
2090,COG6,"BCL10, CD40, CFTR, DOCK8, DTNBP1, DTNBP1, DTNBP1, FANCG, FCGRT, FCGRT, FPR1, OAS1, ODAD1, UNC93B1"
